,0
 toyota,1
 car,1
 car,1
 car,1
 toyota,1
 massachusetts,1
 car,1
 car,1
 car,1
 car,1
 car,1
 car,1
 car,1
 car,1
 car,1
 car,1
 car,1
 car,1
 car,1
 public,1
 sports,1
 car,1
 low,1
 driving,1
 drive,1
 ride,1
 car,1
 on,1
 car,1
 drive,1
 on,1
 car,1
 get,1
 car,1
 drive,1
 low,1
 car,1
 car,1
 car,1
 car,1
 car,1
 car,1
 ride,1
 toyota,1
 car,1
 car,1
 toyota,1
 horn,2
 horn,2
 horn,2
 another,2
 at,2
 at,2
 get,2
 horn,2
 on,3
 at,3
 at,3
 at,3
 at,3
 on,3
 quickly,3
 get,3
 minivan,4
 low,4
 driving,4
 at,4
 get,4
 into,4
 low,4
 minivan,4
 minivan,4
 into,5
 race,5
 minivan,6
 ride,6
 traffic,6
 at,6
 at,6
 at,6
 into,6
 into,6
 into,6
 race,6
 ride,6
 minivan,6
 minivan,6
 saw,7
 one,7
 company,7
 running,7
 at,7
 running,7
 one,8
 on,8
 on,8
 into,8
 on,9
 at,9
 at,9
 on,9
 into,9
 minivan,10
 first,10
 cart,10
 first,10
 drives,10
 another,10
 on,10
 on,10
 on,10
 at,10
 at,10
 at,10
 at,10
 on,10
 on,10
 on,10
 into,10
 into,10
 into,10
 into,10
 into,10
 into,10
 into,10
 minivan,10
 minivan,10
 minivan,11
 sedan,11
 driveway,11
 carrying,11
 crashes,11
 travel,11
 get,11
 get,11
 into,11
 into,11
 into,11
 race,11
 minivan,11
 sedan,11
 minivan,11
 another,12
 four,12
 on,12
 on,12
 on,12
 on,12
 at,12
 at,12
 on,12
 on,12
 on,12
 on,12
 pace,13
 on,13
 on,13
 on,13
 on,13
 at,13
 at,13
 at,13
 on,13
 on,13
 on,13
 on,13
 four,14
 on,14
 on,14
 at,14
 on,14
 on,14
 get,14
 into,14
 bus,15
 window,15
 window,15
 use,15
 window,15
 behind,15
 on,15
 on,15
 at,15
 on,15
 on,15
 another,16
 another,16
 on,16
 on,16
 on,16
 on,16
 on,16
 on,16
 on,16
 on,16
 on,16
 on,16
 on,16
 on,16
 get,16
 into,16
 lot,17
 on,17
 on,17
 on,17
 on,17
 on,17
 at,17
 on,17
 on,17
 on,17
 on,17
 on,17
 get,17
 on,18
 on,18
 on,18
 on,18
 on,18
 on,18
 another,19
 speed,19
 four,19
 on,19
 at,19
 on,19
 hot,20
 at,20
 at,20
 at,20
 at,20
 into,20
 minivan,21
 bike,21
 four,21
 on,21
 on,21
 at,21
 on,21
 on,21
 get,21
 into,21
 minivan,21
 minivan,21
 brazil,22
 waiting,22
 at,22
 at,22
 into,22
 minivan,23
 door,23
 waiting,23
 on,23
 on,23
 on,23
 on,23
 on,23
 at,23
 at,23
 at,23
 on,23
 on,23
 on,23
 on,23
 on,23
 into,23
 into,23
 door,23
 minivan,23
 minivan,23
 rear,24
 rear,24
 first,24
 first,24
 parked,24
 dashboard,24
 on,24
 on,24
 on,24
 on,24
 on,24
 at,24
 at,24
 at,24
 on,24
 on,24
 on,24
 on,24
 on,24
 coach,25
 person,25
 on,25
 on,25
 on,25
 on,25
 get,25
 person,25
 first,26
 police,26
 police,26
 first,26
 one,26
 get,26
 police,26
 police,26
 first,27
 police,27
 parking,27
 parking,27
 first,27
 one,27
 lot,27
 on,27
 at,27
 at,27
 at,27
 at,27
 at,27
 on,27
 get,27
 get,27
 get,27
 into,27
 police,27
 drives,28
 behind,28
 at,28
 at,28
 store,29
 on,29
 on,29
 clown,29
 get,29
 get,29
 into,29
 race,29
 at,30
 get,30
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 driving,31
 crash,31
 fire,31
 car,31
 car,31
 on,31
 at,31
 car,31
 car,31
 on,31
 car,31
 car,31
 get,31
 get,31
 into,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 car,31
 lot,32
 at,32
 show,32
 electric,33
 french,33
 electric,33
 driving,33
 one,33
 one,33
 on,33
 at,33
 on,33
 get,33
 into,33
 race,33
 machine,34
 beach,34
 cart,34
 one,34
 running,34
 on,34
 on,34
 at,34
 at,34
 at,34
 at,34
 at,34
 at,34
 at,34
 on,34
 on,34
 race,34
 running,34
 beach,34
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 parked,35
 car,35
 at,35
 at,35
 at,35
 car,35
 car,35
 into,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,35
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 ford,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 ford,36
 car,36
 car,36
 car,36
 ford,36
 car,36
 car,36
 car,36
 high,36
 ford,36
 car,36
 car,36
 car,36
 on,36
 on,36
 at,36
 car,36
 car,36
 car,36
 on,36
 on,36
 ford,36
 mustang,36
 mustang,36
 car,36
 car,36
 car,36
 get,36
 get,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 car,36
 mustang,36
 mustang,36
 at,37
 at,37
 mustang,37
 mustang,37
 first,38
 first,38
 on,38
 on,38
 at,38
 on,38
 on,38
 into,38
 into,38
 carrying,39
 saw,39
 one,39
 company,39
 on,39
 at,39
 at,39
 at,39
 on,39
 get,39
 hot,40
 on,40
 at,40
 at,40
 on,40
 at,41
 another,42
 on,42
 at,42
 at,42
 on,42
 into,42
 behind,43
 into,43
 behind,44
 behind,44
 on,44
 on,44
 on,44
 on,44
 on,44
 on,44
 mustang,44
 quickly,44
 get,44
 mustang,44
 high,45
 carrying,45
 store,45
 carrying,46
 on,46
 on,46
 at,46
 on,46
 on,46
 get,46
 into,46
 pace,47
 drives,47
 mustang,47
 get,47
 into,47
 mustang,47
 at,48
 hot,49
 use,49
 door,49
 running,49
 on,49
 on,49
 at,49
 on,49
 on,49
 running,49
 door,49
 get,50
 at,51
 at,51
 first,52
 first,52
 coach,52
 coach,52
 carrying,52
 carrying,52
 coach,53
 coach,53
 coach,53
 get,53
 hot,54
 hot,54
 another,54
 on,54
 on,54
 on,54
 on,54
 one,55
 at,55
 get,55
 hot,56
 behind,56
 bikes,56
 on,56
 on,56
 on,56
 at,56
 at,56
 at,56
 on,56
 on,56
 on,56
 into,56
 into,56
 hot,57
 bar,57
 honda,57
 seat,57
 door,57
 one,57
 at,57
 at,57
 at,57
 get,57
 bar,57
 door,57
 honda,57
 seat,58
 behind,58
 on,58
 at,58
 at,58
 on,58
 on,59
 at,59
 on,59
 quickly,59
 get,59
 first,60
 first,60
 one,60
 at,60
 at,60
 at,60
 at,60
 quickly,60
 lot,61
 on,61
 on,61
 get,61
 bar,62
 on,62
 at,62
 on,62
 quickly,62
 bar,62
 another,63
 at,63
 quickly,63
 get,63
 into,63
 person,64
 on,64
 on,64
 get,64
 person,64
 coach,65
 door,65
 on,65
 on,65
 on,65
 at,65
 at,65
 on,65
 on,65
 on,65
 get,65
 get,65
 into,65
 door,65
 coach,66
 on,66
 at,66
 on,66
 running,67
 at,67
 running,67
 at,68
 at,68
 get,68
 into,68
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 one,69
 car,69
 at,69
 at,69
 at,69
 at,69
 car,69
 car,69
 get,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 windshield,69
 windshield,69
 car,69
 car,69
 drive,70
 at,70
 drive,70
 get,70
 drive,70
 accident,71
 one,71
 on,71
 at,71
 at,71
 at,71
 at,71
 at,71
 on,71
 accident,71
 another,72
 on,72
 on,72
 ride,73
 another,73
 one,73
 on,73
 on,73
 into,73
 ride,73
 door,74
 on,74
 on,74
 on,74
 at,74
 at,74
 on,74
 on,74
 on,74
 door,74
 on,75
 at,75
 at,75
 at,75
 on,75
 into,75
 seat,76
 at,76
 into,76
 seat,77
 at,77
 into,77
 on,78
 on,78
 on,78
 on,78
 drive,79
 lot,79
 at,79
 drive,79
 into,79
 drive,79
 race,79
 another,80
 another,80
 one,80
 one,80
 one,80
 on,80
 on,80
 on,80
 on,80
 on,80
 on,80
 on,80
 at,80
 show,80
 on,80
 on,80
 on,80
 on,80
 on,80
 on,80
 on,80
 into,80
 on,81
 on,81
 into,81
 driving,82
 lot,83
 on,83
 at,83
 at,83
 at,83
 on,83
 driving,84
 crash,84
 lot,84
 on,84
 on,84
 at,84
 at,84
 at,84
 on,84
 on,84
 carrying,85
 door,85
 one,85
 on,85
 on,85
 on,85
 on,85
 get,85
 door,85
 on,86
 at,86
 at,86
 at,86
 at,86
 on,86
 crashed,87
 on,87
 on,87
 on,87
 on,87
 into,87
 minivan,88
 on,88
 on,88
 minivan,88
 minivan,88
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 parked,89
 car,89
 on,89
 on,89
 at,89
 at,89
 car,89
 on,89
 on,89
 car,89
 get,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 car,89
 get,90
 into,90
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 steering,91
 car,91
 on,91
 at,91
 at,91
 car,91
 on,91
 car,91
 get,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 car,91
 on,92
 on,92
 on,92
 at,92
 on,92
 on,92
 on,92
 on,93
 at,93
 at,93
 on,93
 get,93
 into,93
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 one,94
 running,94
 car,94
 on,94
 on,94
 on,94
 on,94
 at,94
 car,94
 on,94
 on,94
 on,94
 on,94
 car,94
 into,94
 into,94
 car,94
 car,94
 car,94
 running,94
 car,94
 car,94
 car,94
 car,94
 car,94
 car,94
 carrying,95
 four,95
 four,95
 on,95
 at,95
 at,95
 at,95
 at,95
 at,95
 at,95
 at,95
 on,95
 into,95
 sedan,96
 one,96
 on,96
 on,96
 on,96
 on,96
 on,96
 on,96
 at,96
 on,96
 on,96
 on,96
 on,96
 on,96
 on,96
 sedan,96
 low,97
 on,97
 on,97
 at,97
 on,97
 on,97
 get,97
 into,97
 low,97
 accelerator,98
 lift,98
 cars,98
 on,98
 on,98
 on,98
 on,98
 mustang,98
 get,98
 get,98
 into,98
 accelerator,98
 mustang,98
 wheel,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 truck,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 window,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 window,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 truck,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 truck,99
 window,99
 cars,99
 driving,99
 wheel,99
 another,99
 one,99
 wheel,99
 car,99
 car,99
 car,99
 at,99
 car,99
 car,99
 car,99
 mustang,99
 car,99
 car,99
 car,99
 get,99
 into,99
 wheel,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 truck,99
 wheel,99
 car,99
 car,99
 car,99
 car,99
 car,99
 car,99
 mustang,99
 one,100
 into,100
 seat,101
 one,101
 at,101
 show,101
 one,102
 running,102
 lot,102
 on,102
 at,102
 at,102
 on,102
 running,102
 running,103
 on,103
 on,103
 on,103
 on,103
 running,103
 drove,104
 another,104
 on,105
 at,105
 at,105
 on,105
 get,105
 one,106
 on,106
 at,106
 show,106
 on,106
 race,106
 first,107
 first,107
 on,107
 on,107
 at,107
 at,107
 on,107
 on,107
 into,107
 one,108
 on,108
 on,108
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 drives,109
 one,109
 car,109
 car,109
 car,109
 into,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 car,109
 use,110
 on,110
 at,110
 at,110
 on,110
 at,111
 at,111
 at,111
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 on,112
 on,112
 at,112
 at,112
 car,112
 on,112
 on,112
 car,112
 get,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 car,112
 passenger,113
 passenger,113
 plane,113
 four,113
 at,113
 into,113
 race,113
